work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_ratio_pt,experience_level_pt,employment_type_pt,company_size_pt,salary_usd_k,residence_iso3
2024,MI,FT,Developer,168276,USD,168276,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,168.276,USA
2024,MI,FT,Developer,112184,USD,112184,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,112.184,USA
2024,EN,FT,Developer,180000,USD,180000,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,180.0,USA
2024,EN,FT,Developer,133500,USD,133500,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,133.5,USA
2024,EN,FT,Developer,122000,USD,122000,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,122.0,USA
2024,EN,FT,Developer,110000,USD,110000,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,110.0,USA
2024,SE,FT,Developer,270000,USD,270000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,270.0,USA
2024,SE,FT,Developer,130000,USD,130000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,130.0,USA
2024,MI,FT,Developer,63511,USD,63511,CA,0,CA,M,Presencial,Pleno,Tempo Integral,Média,63.511,CAN
2024,MI,FT,Developer,58092,USD,58092,CA,0,CA,M,Presencial,Pleno,Tempo Integral,Média,58.092,CAN
2024,MI,FT,Developer,115000,USD,115000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,115.0,USA
2024,MI,FT,Developer,77000,USD,77000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,77.0,USA
2024,EN,FT,Developer,60000,USD,60000,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,60.0,USA
2024,EN,FT,Developer,56000,USD,56000,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,56.0,USA
2024,SE,FT,Research Scientist,251000,USD,251000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,251.0,USA
2024,SE,FT,Research Scientist,177000,USD,177000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,177.0,USA
2024,SE,FT,Software Engineer,130000,USD,130000,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,130.0,USA
2024,SE,FT,Software Engineer,70000,USD,70000,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,70.0,USA
2024,SE,FT,Solution Architect,169700,USD,169700,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,169.7,USA
2024,SE,FT,Solution Architect,118800,USD,118800,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,118.8,USA
2024,MI,FT,Manager,173000,USD,173000,CA,0,CA,M,Presencial,Pleno,Tempo Integral,Média,173.0,CAN
2024,MI,FT,Manager,104000,USD,104000,CA,0,CA,M,Presencial,Pleno,Tempo Integral,Média,104.0,CAN
2024,SE,FT,Data Engineer,110000,USD,110000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,110.0,USA
2024,SE,FT,Data Engineer,110000,USD,110000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,110.0,USA
2024,SE,FT,Analyst,105000,USD,105000,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,105.0,USA
2024,SE,FT,Analyst,79200,USD,79200,US,100,US,M,Remoto,Sênior,Tempo Integral,Média,79.2,USA
2024,SE,FT,Software Engineer,294000,USD,294000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,294.0,USA
2024,SE,FT,Software Engineer,137600,USD,137600,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,137.6,USA
2024,MI,FT,Engineering Manager,410000,USD,410000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,410.0,USA
2024,MI,FT,Engineering Manager,224000,USD,224000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,224.0,USA
2024,MI,FT,Engineer,223000,USD,223000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,223.0,USA
2024,MI,FT,Engineer,150000,USD,150000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,150.0,USA
2024,SE,FT,Software Engineer,337000,USD,337000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,337.0,USA
2024,SE,FT,Software Engineer,237000,USD,237000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,237.0,USA
2024,MI,FT,Machine Learning Engineer,149000,USD,149000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,149.0,USA
2024,MI,FT,Machine Learning Engineer,93000,USD,93000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,93.0,USA
2024,SE,FT,Software Engineer,191100,USD,191100,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,191.1,USA
2024,SE,FT,Software Engineer,136038,USD,136038,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,136.038,USA
2024,MI,FT,Machine Learning Engineer,296300,USD,296300,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,296.3,USA
2024,MI,FT,Machine Learning Engineer,166600,USD,166600,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,166.6,USA
2024,SE,FT,Machine Learning Engineer,378700,USD,378700,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,378.7,USA
2024,SE,FT,Machine Learning Engineer,207800,USD,207800,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,207.8,USA
2024,MI,FT,Machine Learning Engineer,360200,USD,360200,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,360.2,USA
2024,MI,FT,Machine Learning Engineer,197400,USD,197400,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,197.4,USA
2024,EN,FT,Data Reporting Analyst,58542,USD,58542,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,58.542,USA
2024,EN,FT,Data Reporting Analyst,43920,USD,43920,US,0,US,M,Presencial,Júnior,Tempo Integral,Média,43.92,USA
2024,SE,FT,Software Engineer,251000,USD,251000,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,251.0,USA
2024,SE,FT,Software Engineer,170200,USD,170200,US,0,US,M,Presencial,Sênior,Tempo Integral,Média,170.2,USA
2024,MI,FT,Data Engineer,204000,USD,204000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,204.0,USA
2024,MI,FT,Data Engineer,145000,USD,145000,US,0,US,M,Presencial,Pleno,Tempo Integral,Média,145.0,USA
2024,SE,FT,Data Engineer,250200,USD,250200,AU,0,AU,M,Presencial,Sênior,Tempo Integral,Média,250.2,AUS
2024,SE,FT,Data Engineer,117200,USD,117200,AU,0,AU,M,Presencial,Sênior,Tempo Integral,Média,117.2,AUS
