work_year,experience_level_pt,employment_type_pt,job_title,salary_in_usd,salary_usd_k,company_size_pt,remote_ratio_pt,residence_iso3
2024,Pleno,Tempo Integral,Developer,168276,168.276,Média,Presencial,USA
2024,Pleno,Tempo Integral,Developer,112184,112.184,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,180000,180.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,133500,133.5,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,122000,122.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,110000,110.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Developer,270000,270.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Developer,130000,130.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Developer,63511,63.511,Média,Presencial,CAN
2024,Pleno,Tempo Integral,Developer,58092,58.092,Média,Presencial,CAN
2024,Pleno,Tempo Integral,Developer,115000,115.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Developer,77000,77.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,60000,60.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Developer,56000,56.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Research Scientist,251000,251.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Research Scientist,177000,177.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,130000,130.0,Média,Remoto,USA
2024,Sênior,Tempo Integral,Software Engineer,70000,70.0,Média,Remoto,USA
2024,Sênior,Tempo Integral,Solution Architect,169700,169.7,Média,Remoto,USA
2024,Sênior,Tempo Integral,Solution Architect,118800,118.8,Média,Remoto,USA
2024,Pleno,Tempo Integral,Manager,173000,173.0,Média,Presencial,CAN
2024,Pleno,Tempo Integral,Manager,104000,104.0,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Data Engineer,110000,110.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,110000,110.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Analyst,105000,105.0,Média,Remoto,USA
2024,Sênior,Tempo Integral,Analyst,79200,79.2,Média,Remoto,USA
2024,Sênior,Tempo Integral,Software Engineer,294000,294.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,137600,137.6,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineering Manager,410000,410.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineering Manager,224000,224.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineer,223000,223.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineer,150000,150.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,337000,337.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,237000,237.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,149000,149.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,93000,93.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,191100,191.1,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,136038,136.038,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,296300,296.3,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,166600,166.6,Média,Presencial,USA
2024,Sênior,Tempo Integral,Machine Learning Engineer,378700,378.7,Média,Presencial,USA
2024,Sênior,Tempo Integral,Machine Learning Engineer,207800,207.8,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,360200,360.2,Média,Presencial,USA
2024,Pleno,Tempo Integral,Machine Learning Engineer,197400,197.4,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Reporting Analyst,58542,58.542,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Reporting Analyst,43920,43.92,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,251000,251.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,170200,170.2,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Engineer,204000,204.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Engineer,145000,145.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,250200,250.2,Média,Presencial,AUS
2024,Sênior,Tempo Integral,Data Engineer,117200,117.2,Média,Presencial,AUS
2024,Pleno,Tempo Integral,Data Engineer,143000,143.0,Média,Remoto,USA
2024,Pleno,Tempo Integral,Data Engineer,132000,132.0,Média,Remoto,USA
2024,Júnior,Tempo Integral,Data Engineer,110240,110.24,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Engineer,39500,39.5,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,35386,35.386,Média,Presencial,HRV
2024,Sênior,Tempo Integral,Data Engineer,296300,296.3,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,166600,166.6,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,199000,199.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,136038,136.038,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,183000,183.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Engineer,167000,167.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Engineer,178200,178.2,Média,Presencial,USA
2024,Sênior,Tempo Integral,Engineer,74800,74.8,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Analyst,194000,194.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Analyst,116000,116.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Analyst,219200,219.2,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Analyst,103800,103.8,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Analyst,35386,35.386,Média,Presencial,HRV
2024,Júnior,Tempo Integral,Data Analyst,89305,89.305,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Analyst,61600,61.6,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,232000,232.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,129000,129.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Scientist,110240,110.24,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Scientist,39500,39.5,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,225000,225.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,180000,180.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,253000,253.0,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Data Scientist,108100,108.1,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Data Scientist,248700,248.7,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,136300,136.3,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Scientist,103100,103.1,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Scientist,76200,76.2,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Scientist,90012,90.012,Média,Presencial,CAN
2024,Pleno,Tempo Integral,Data Scientist,68562,68.562,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Data Scientist,182400,182.4,Média,Presencial,USA
2024,Sênior,Tempo Integral,Data Scientist,104200,104.2,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Scientist,161500,161.5,Média,Presencial,USA
2024,Pleno,Tempo Integral,Data Scientist,120400,120.4,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Scientist,145800,145.8,Média,Presencial,USA
2024,Júnior,Tempo Integral,Data Scientist,83300,83.3,Média,Presencial,USA
2024,Sênior,Tempo Integral,Business Intelligence Developer,268900,268.9,Média,Presencial,USA
2024,Sênior,Tempo Integral,Business Intelligence Developer,103800,103.8,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,253000,253.0,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Software Engineer,135800,135.8,Média,Presencial,CAN
2024,Sênior,Tempo Integral,Software Engineer,208000,208.0,Média,Presencial,USA
2024,Sênior,Tempo Integral,Software Engineer,141340,141.34,Média,Presencial,USA
2024,Sênior,Tempo Integral,Product Manager,250200,250.2,Média,Presencial,USA
2024,Sênior,Tempo Integral,Product Manager,117200,117.2,Média,Presencial,USA
2024,Júnior,Tempo Integral,Analyst,95000,95.0,Média,Presencial,USA
2024,Júnior,Tempo Integral,Analyst,85000,85.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineer,173000,173.0,Média,Presencial,USA
2024,Pleno,Tempo Integral,Engineer,116000,116.0,Média,Presencial,USA
